,0
0,1.0
1,1.000000286649704
2,0.9991067371961049
3,0.9983736171880689
4,0.9976869506185776
5,0.9968581391329201
6,0.9960489586330923
7,0.9951403585759356
8,0.9943025638565166
9,0.9934041160884559
10,0.992618341834272
11,0.991785112087552
12,0.9910882512241598
13,0.9903406948571272
14,0.9897453013665649
15,0.9890880968293293
16,0.988584787063952
17,0.9880093197675646
18,0.9875901221452281
19,0.9870890635736994
20,0.9867415551251341
21,0.9863051600091323
22,0.9860157889218867
23,0.985633817834919
24,0.9853947104856807
25,0.9850606111090562
26,0.9848577357733711
27,0.984561271850114
28,0.9843841009402123
29,0.9841173185469994
30,0.9839598891945006
31,0.9837178887305822
32,0.9835847506494473
33,0.9833693511362767
34,0.9832664881834444
35,0.9830805460648269
36,0.9830085731028433
37,0.9828515083322064
38,0.9828031524469285
39,0.9826694344482885
40,0.9826373368112293
41,0.9825214930282605
42,0.982498565305507
43,0.9823954412688415
44,0.9823806508620816
45,0.9822890360137166
46,0.982287221329674
47,0.9822098847766274
48,0.9822170962947909
49,0.9821513159112337
50,0.9821628366330002
51,0.9821053471982273
52,0.9821134745231438
53,0.9820591845135823
54,0.9820548471817473
55,0.9819977161521676
56,0.9819739195703844
57,0.9819091443919685
58,0.9818736765941446
59,0.981805743638304
60,0.9817665751259677
61,0.9817000961599535
62,0.9816681046763222
63,0.9816095637171842
64,0.9815881492632021
65,0.9815392551849687
66,0.9815263519851134
67,0.9814855391573867
68,0.9814798817384913
69,0.9814461431000997
70,0.9814414572002476
71,0.9814107483883825
72,0.9814015843817679
73,0.981370354646968
74,0.9813460208427004
75,0.9813074314503913
76,0.9812579328371394
77,0.9812055510098158
78,0.9811297681961298
79,0.9810628362448778
80,0.9809631553350068
81,0.9808831035423019
82,0.9807690888485169
83,0.9806819505340819
84,0.9805574619864659
85,0.9804656103455057
86,0.9803321074383914
87,0.9802363534740207
88,0.9800969292096612
89,0.9799990322106
90,0.9798543694005689
91,0.9797544814395565
92,0.9796044530029134
93,0.9795023147327414
94,0.9793491972630488
95,0.9792460301207256
96,0.9790903679880606
97,0.9789863692650056
98,0.9788280549880055
99,0.978723024661685
100,0.9785561368932476
101,0.9784462414419987
102,0.9782625306852729
103,0.9781424545338828
104,0.9779356737308696
105,0.9778014199935663
106,0.9775777986396773
107,0.977433412069059
108,0.9772011503601936
109,0.9770518064879093
110,0.9768227721929347
111,0.9766760040196493
112,0.9764634045138088
113,0.9763275361390962
114,0.9761367428504201
115,0.9760152042705085
116,0.975851148737969
